Time	Item	Slot #	Location	Coordinate	Level	Star	Additional Info

12:00 AM/PM	Rarefied Sykon	1	Elpis	(x25,y5)	87	600 Min Collectability
12:00 AM/PM	Rarefied Elder Nutmeg	3	Elpis	(x25,y5)	90	600 Min Collectability
12:00 AM/PM	Rarefied Coconut	2	Thavnair	(x14,y14)	85	600 Min Collectability
2:00 AM/PM	Rarefied Palm Log	6	Thavnair	(x14,y14)	85	600 Min Collectability
4:00 AM/PM	Rarefied Red Pine Log	6	Garlemald	(x35,y6)	83	600 Min Collectability
6:00 AM/PM	Rarefied Dark Rye	3	Labyrinthos	(x10,y22)	89	600 Min Collectability
6:00 AM/PM	Rarefied Iceberg Lettuce	6	Labyrinthos	(x10,y22)	90	★	600 Min Collectability
8:00 AM/PM	Rarefied AR-Caean Cotton Boll	1	Ultima Thule	(x9,y33)	90	★	600 Min Collectability
Time	Item	Slot #	Location	Coordinate	Level	Star	Additional Info

12:00 AM/PM	Broad Beans	2	Il Mheg	(x24,y36)	72	Perception 1312
12:00 AM/PM	Mist Spinach	6	The Rak'tika Greatwood	(x34,y21)	78
2:00 AM/PM	Rarefied Amber Cloves	3	Amh Araeng	(x19,y20)	80	600 Min Collectability
2:00 AM/PM	Rarefied Sandteak Log	6	Amh Araeng	(x19,y20)	77	600 Min Collectability
4:00 AM/PM	Rarefied Coral	3	The Tempest	(x37,y12)	80	★	600 Min Collectability
4:00 AM/PM	Rarefied Kelp	4	The Tempest	(x37,y12)	80	★	600 Min Collectability
6:00 AM/PM	Lemonette	2	Kholusia	(x20,y27)	80
8:00 AM/PM	Rarefied White Oak Log	6	Kholusia	(x28,y33)	73	600 Min Collectability
8:00 AM/PM	Russet Popoto	7	Amh Araeng	(x19,y16)	76	Perception 1421
10:00 AM/PM	Peppermint	6	Lakeland	(x26,y20)	74	Perception 1080
10:00 AM/PM	Rarefied Pixie Apple	2	Il Mheg	(x4,y23)	71	600 Min Collectability
10:00 AM/PM	Rarefied Miracle Apple Log	6	Il Mheg	(x4,y23)	75	600 Min Collectability
Time	Item	Slot #	Location	Coordinate	Level	Star	Additional Info

12:00 AM/PM	Rarefied Urunday Log	6	The Peaks	(x31,y7)	80	★	600 Min Collectability
12:00 AM/PM	Rarefied Pine Log	6	Yanxia	(x19,y14)	69	600 Min Collectability
12:00 AM/PM	Rarefied Pine Resin	4	Yanxia	(x19,y14)	67	600 Min Collectability
2:00 AM/PM	Othardian Plum	2	The Azim Steppe	(x23,y16)	70	Perception 862
2:00 AM/PM	Rarefied Larch Log	4	The Ruby Sea	(x6,y16)	61	600 Min Collectability
2:00 AM/PM	Rarefied Larch Sap	6	The Ruby Sea	(x6,y16)	65	600 Min Collectability
4:00 AM/PM	Rhalgr's Streak	1	The Lochs	(x8,y8)	70	Edgyth's Winning Streak Perception 690
4:00 AM/PM	Jhammel Ginger	3	The Lochs	(x8,y8)	68	Perception 664
4:00 AM/PM	Rarefied Shiitake Mushroom	7	The Ruby Sea	(x33,y9)	63	600 Min Collectability
6:00 AM/PM	Hallowed Basil	6	The Peaks	(x23,y16)	70	★	Perception 750
8:00 AM/PM	Lotus Root	7	Yanxia	(x28,y7)	66	Perception 638
10:00 AM/PM	Bamboo Shoot	8	Yanxia	(x28,y25)	63	Perception 624
Time	Item	Slot #	Location	Coordinate	Level	Star	Additional Info

12:00 AM/PM	Rarefied Dark Chestnut	2	The Dravanian Forelands	(x16,y36)	57	600 Min Collectability
12:00 AM/PM	Rarefied Dark Chestnut Resin	4	The Dravanian Forelands	(x16,y36)	59	600 Min Collectability
12:00 AM/PM	Dravanian Mistletoe	3	The Churning Mists	(x24,y6)	54	Perception 330
12:00 AM/PM	Porcini	7	The Churning Mists	(x24,y6)	51	Perception 69
2:00 AM/PM	Old World Fig Seeds	1	The Dravanian Forelands	(x26,y12)	50	★★★
2:00 AM/PM	Old World Fig	2	The Dravanian Forelands	(x26,y12)	50	★★★	Perception 220
4:00 AM/PM	Cloud Banana	2	The Dravanian Hinterlands	(x19,y36)	57	Perception 356
4:00 AM/PM	Morel	7	The Dravanian Hinterlands	(x19,y36)	59	Perception 384
6:00 AM/PM	Heavens Lemon	2	The Sea of Clouds	(x35,y23)	56	Perception 353
6:00 AM/PM	Abalathian Mistletoe	3	The Sea of Clouds	(x35,y23)	58	Perception 371
8:00 AM/PM	Chysahl Greens	6	Coerthas Western Highlands	(x8,y9)	60	Perception 408
10:00 AM/PM	Chives	1	Coerthas Western Highlands	(x31,y20)	55	Perception 351
10:00 AM/PM	Pearl Sprout Seeds	2	Coerthas Western Highlands	(x31,y20)	52
10:00 AM/PM	Coerthan Tea Seeds	3	Coerthas Western Highlands	(x31,y20)	53
10:00 AM/PM	Pearl Sprouts	6	Coerthas Western Highlands	(x31,y20)	52	Perception 273
10:00 AM/PM	Coerthan Tea Leaves	7	Coerthas Western Highlands	(x31,y20)	53	Perception 321
10:00 AM/PM	Rarefied Dark Chestnut Branch	3	The Dravanian Forelands	(x29,y30)	55	600 Min Collectability
10:00 AM/PM	Rarefied Dark Chestnut Log	6	The Dravanian Forelands	(x29,y30)	53	600 Min Collectability
10:00 AM/PM	Rarefied Dark Chestnut Sap	4	The Dravanian Forelands	(x29,y30)	51	600 Min Collectability
Time	Item	Slot #	Location	Coordinate	Extra	Star

1:00 AM	Silkworm Cocoon	4	East Shroud	(x22,y26)	★
1:00 AM	Lightning Cluster	2	Mor Dhona	(x32,y11)	Unaspected Crystal Slot 1
1:00 AM	Fire Cluster	3	Mor Dhona	(x32,y11)
1:00 AM	Wind Cluster	4	Mor Dhona	(x32,y11)
1:00 AM	Water Cluster	5	Mor Dhona	(x32,y11)
1:00 AM	Ice Cluster	6	Mor Dhona	(x32,y11)
1:00 AM	Earth Cluster	7	Mor Dhona	(x32,y11)	Dark Matter Cluster Slot 8
2:00 AM	Fragrant Log	6	South Shroud	(x18,y23)	★
2:00 AM	Shroud Tea Leaves	6	Central Shroud	(x16,y20)	Mazlaya Greens Slot 1, Dark Matter Cluster Slot 5	★★
3:00 AM	Scarlet Sap	4	North Shroud	(x18,y26)	★★
